,Bs_Name,故障前节点电压幅值,故障前节点电压相角,故障中节点电压幅值1,故障中节点电压相角1,故障中节点电压幅值2,故障中节点电压相角2,故障后节点电压幅值,故障后节点电压相角
33,Gen2E-37,0.99961,357.77141,0.91178,356.55791,0.75508,4.65886,1.07144,358.39148
34,Gen2E-5,0.99573,359.39226,0.84501,357.27921,0.67692,11.6896,1.06513,355.57691
35,Gen2E-7,0.99957,359.12245,0.89744,357.81298,0.73555,8.44392,1.08075,357.6102
36,Gen2W-1,0.99944,5.30047,0.64857,2.85079,0.57844,43.55429,1.04912,353.36734
37,Gen2W-11,0.99944,5.22766,0.63991,2.59996,0.57769,43.35163,1.0493,353.34886
38,Gen2W-12,0.99945,4.85749,0.66093,2.28969,0.57845,41.59142,1.04988,353.35397
39,Gen2W-21,0.99944,5.07524,0.6445,2.45143,0.57652,43.71032,1.04915,353.10344
40,Gen2W-24,0.99933,4.3638,0.6511,1.51365,0.58149,42.33727,1.05175,352.57055
41,Gen2W-25,0.99849,4.65633,0.62382,1.48047,0.57709,41.53396,1.04987,353.07891
42,Gen2W-5,0.99944,5.19041,0.6458,2.72684,0.58394,42.88927,1.05043,353.37193
43,Gen2W-6,0.99822,4.626,0.65133,1.85012,0.57876,40.53582,1.05005,353.2886
44,Gen3D-10,0.99723,5.21419,0.99244,4.9001,0.97474,356.70921,1.0146,45.95036
45,Gen3D-13,1.00098,5.46362,0.9968,5.18578,0.98065,357.00999,1.02143,46.24972
46,Gen3D-15,0.99715,5.47699,0.9913,5.10453,0.97208,356.89729,1.01404,46.01306
47,Gen3D-17,0.99349,4.7628,0.98891,4.45696,0.97128,356.25395,1.01214,45.51775
48,Gen3D-20,1.00126,6.34186,0.99744,6.09957,0.98202,357.97811,1.02182,47.21492
49,Gen3D-23,0.99638,5.41177,0.99058,5.04173,0.97121,356.83754,1.01287,45.95175
50,Gen3D-25,0.99478,5.48591,0.98818,5.07011,0.96697,356.86044,1.00981,45.84833
51,Gen3D-26,0.99784,5.56485,0.99207,5.19684,0.97283,356.99886,1.01459,46.09706
52,Gen3D-29,0.99563,5.62378,0.98891,5.20232,0.96754,356.99766,1.01054,45.95582
53,Gen3D-30,0.98896,5.10097,0.98149,4.63218,0.95794,356.39669,1.0014,45.30456
54,Gen3D-31,0.99536,5.29517,0.98956,4.9239,0.97004,356.715,1.01183,45.83219
55,Gen3D-32,0.99369,5.15668,0.98776,4.77585,0.96778,356.55878,1.00996,45.6604
56,Gen3D-4,0.99982,5.75322,0.99418,5.39424,0.97515,357.20422,1.01568,46.31886
57,Gen3D-5,0.99832,5.59331,0.99268,5.23232,0.97355,357.03676,1.01471,46.14838
58,Gen3L-10,0.99156,6.37629,0.98581,6.03878,0.96689,357.94614,1.00561,47.06616
59,Gen3L-18,0.99793,6.99725,0.99221,6.6677,0.97393,358.59963,1.01204,47.71713
60,Gen3L-2,0.99472,6.78569,0.98819,6.41306,0.96837,358.32328,1.00817,47.32026
61,Gen3L-20,0.99962,7.43278,0.99394,7.10903,0.97618,359.05741,1.01396,48.17671
